year,state,candidate,party_simplified,candidatevotes,rank
1984,PENNSYLVANIA,"REAGAN, RONALD",REPUBLICAN,2584323,1.0
1984,PENNSYLVANIA,"MONDALE, WALTER",DEMOCRAT,2228131,2.0
1984,PENNSYLVANIA,"JOHNSON, SONIA",OTHER,21628,3.0
1984,PENNSYLVANIA,"BERGLAND, DAVID",LIBERTARIAN,6982,4.0
1984,PENNSYLVANIA,"WINN, EDWARD",OTHER,2059,5.0
1984,PENNSYLVANIA,"HALL, GUS",OTHER,1780,6.0
1988,PENNSYLVANIA,"BUSH, GEORGE H.W.",REPUBLICAN,2300087,1.0
1988,PENNSYLVANIA,"DUKAKIS, MICHAEL",DEMOCRAT,2194944,2.0
1988,PENNSYLVANIA,"MCCARTHY, EUGENE """"GENE""""",OTHER,19158,3.0
1988,PENNSYLVANIA,"PAUL, RONALD """"RON""""",LIBERTARIAN,12051,4.0
1988,PENNSYLVANIA,"FULANI, LENORA",OTHER,4379,5.0
1988,PENNSYLVANIA,"DUKE, DAVID",OTHER,3444,6.0
1988,PENNSYLVANIA,"WINN, EDWARD",OTHER,2188,7.0
1992,PENNSYLVANIA,"CLINTON, BILL",DEMOCRAT,2239164,1.0
1992,PENNSYLVANIA,"BUSH, GEORGE H.W.",REPUBLICAN,1791841,2.0
1992,PENNSYLVANIA,"PEROT, ROSS",OTHER,902667,3.0
1992,PENNSYLVANIA,"MARROU, ANDRE",LIBERTARIAN,21477,4.0
1992,PENNSYLVANIA,"FULANI, LENORA",OTHER,4661,5.0
1996,PENNSYLVANIA,"CLINTON, BILL",DEMOCRAT,2215819,1.0
1996,PENNSYLVANIA,"DOLE, ROBERT",REPUBLICAN,1801169,2.0
1996,PENNSYLVANIA,"PEROT, ROSS",OTHER,430984,3.0
1996,PENNSYLVANIA,"BROWNE, HARRY",LIBERTARIAN,28000,4.0
1996,PENNSYLVANIA,"PHILLIPS, HOWARD",OTHER,19552,5.0
1996,PENNSYLVANIA,"HAGELIN, JOHN",OTHER,5783,6.0
2000,PENNSYLVANIA,"GORE, AL",DEMOCRAT,2485967,1.0
2000,PENNSYLVANIA,"BUSH, GEORGE W.",REPUBLICAN,2281127,2.0
2000,PENNSYLVANIA,"NADER, RALPH",OTHER,103392,3.0
2000,PENNSYLVANIA,"BUCHANAN, PATRICK """"PAT""""",OTHER,16023,4.0
2000,PENNSYLVANIA,"PHILLIPS, HOWARD",OTHER,14428,5.0
2000,PENNSYLVANIA,"BROWNE, HARRY",LIBERTARIAN,11248,6.0
2004,PENNSYLVANIA,"KERRY, JOHN",DEMOCRAT,2938095,1.0
2004,PENNSYLVANIA,"BUSH, GEORGE W.",REPUBLICAN,2793847,2.0
2004,PENNSYLVANIA,"BADNARIK, MICHAEL",LIBERTARIAN,21185,3.0
2004,PENNSYLVANIA,"COBB, DAVID",OTHER,6319,4.0
2004,PENNSYLVANIA,"PEROUTKA, MICHAEL",OTHER,6318,5.0
2004,PENNSYLVANIA,"INDEPENDENT PARTY CANDIDATE,",OTHER,2656,6.0
2004,PENNSYLVANIA,BLANK VOTE/SCATTERING,OTHER,1170,7.0
2008,PENNSYLVANIA,"OBAMA, BARACK H.",DEMOCRAT,3276363,1.0
2008,PENNSYLVANIA,"MCCAIN, JOHN",REPUBLICAN,2655885,2.0
2008,PENNSYLVANIA,"NADER, RALPH",OTHER,42977,3.0
2008,PENNSYLVANIA,"BARR, BOB",LIBERTARIAN,19912,4.0
2008,PENNSYLVANIA,,OTHER,9955,5.0
2008,PENNSYLVANIA,SCATTERING,OTHER,8180,6.0
2012,PENNSYLVANIA,"OBAMA, BARACK H.",DEMOCRAT,2990274,1.0
2012,PENNSYLVANIA,"ROMNEY, MITT",REPUBLICAN,2680434,2.0
2012,PENNSYLVANIA,"JOHNSON, GARY",LIBERTARIAN,49991,3.0
2012,PENNSYLVANIA,"STEIN, JILL",OTHER,21341,4.0
2016,PENNSYLVANIA,"TRUMP, DONALD J.",REPUBLICAN,2970733,1.0
2016,PENNSYLVANIA,"CLINTON, HILLARY",DEMOCRAT,2926441,2.0
2016,PENNSYLVANIA,"JOHNSON, GARY",LIBERTARIAN,146715,3.0
2016,PENNSYLVANIA,"STEIN, JILL",OTHER,49941,4.0
2016,PENNSYLVANIA,"CASTLE, DARRELL L.",OTHER,21572,5.0
2020,PENNSYLVANIA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3458229,1.0
2020,PENNSYLVANIA,"TRUMP, DONALD J.",REPUBLICAN,3377674,2.0
2020,PENNSYLVANIA,"JORGENSEN, JO",LIBERTARIAN,79380,3.0
1976,RHODE ISLAND,"CARTER, JIMMY",DEMOCRAT,227636,1.0
1976,RHODE ISLAND,"FORD, GERALD",REPUBLICAN,181249,2.0
1976,RHODE ISLAND,"MACBRIDE, ROGER",LIBERTARIAN,715,3.0
1976,RHODE ISLAND,"CAMEJO, PETER",OTHER,462,4.0
1976,RHODE ISLAND,"HALL, GUS",OTHER,334,5.0
1976,RHODE ISLAND,"JULIUS """"JULES"""", LEVIN",OTHER,188,6.0
1980,RHODE ISLAND,"CARTER, JIMMY",DEMOCRAT,198342,1.0
1980,RHODE ISLAND,"REAGAN, RONALD",REPUBLICAN,154793,2.0
1980,RHODE ISLAND,"ANDERSON, JOHN B.",OTHER,59819,3.0
1980,RHODE ISLAND,"CLARK, EDWARD """"ED""""",LIBERTARIAN,2458,4.0
1980,RHODE ISLAND,"HALL, GUS",OTHER,218,5.0
1980,RHODE ISLAND,"MCREYNOLDS, DAVID",OTHER,170,6.0
1980,RHODE ISLAND,"DEBERRY, CLIFTON",OTHER,90,7.0
1980,RHODE ISLAND,"GRISWOLD, DEIRDRE",OTHER,77,8.0
1984,RHODE ISLAND,"REAGAN, RONALD",REPUBLICAN,212080,1.0
1984,RHODE ISLAND,"MONDALE, WALTER",DEMOCRAT,197106,2.0
1984,RHODE ISLAND,"RICHARDS, BOB",OTHER,510,3.0
1984,RHODE ISLAND,"BERGLAND, DAVID",LIBERTARIAN,277,4.0
1984,RHODE ISLAND,"JOHNSON, SONIA",OTHER,240,5.0
1984,RHODE ISLAND,"HOLMES, LARRY",OTHER,91,6.0
1984,RHODE ISLAND,"HALL, GUS",OTHER,75,7.0
1984,RHODE ISLAND,"MASON, MELVIN",OTHER,61,8.0
1984,RHODE ISLAND,"SERRETTE, DENNIS",OTHER,49,9.0
1988,RHODE ISLAND,"DUKAKIS, MICHAEL",DEMOCRAT,225123,1.0
1988,RHODE ISLAND,"BUSH, GEORGE H.W.",REPUBLICAN,177761,2.0
1988,RHODE ISLAND,"PAUL, RONALD """"RON""""",LIBERTARIAN,825,3.0
1988,RHODE ISLAND,"FULANI, LENORA",OTHER,280,4.0
1988,RHODE ISLAND,"HERBERG G., LEWIN",OTHER,195,5.0
1988,RHODE ISLAND,"DUKE, DAVID",OTHER,159,6.0
1988,RHODE ISLAND,"WARREN, JAMES """"MAC""""",OTHER,130,7.0
1988,RHODE ISLAND,"KENOYER, WILLA",OTHER,96,8.0
1988,RHODE ISLAND,,OTHER,53,9.0
1992,RHODE ISLAND,"CLINTON, BILL",DEMOCRAT,213299,1.0
1992,RHODE ISLAND,"BUSH, GEORGE H.W.",REPUBLICAN,131601,2.0
1992,RHODE ISLAND,"PEROT, ROSS",OTHER,105045,3.0
1992,RHODE ISLAND,"FULANI, LENORA",OTHER,1878,4.0
1992,RHODE ISLAND,"MARROU, ANDRE",LIBERTARIAN,571,5.0
1992,RHODE ISLAND,"LAROUCHE, LYNDON, JR.",OTHER,494,6.0
1992,RHODE ISLAND,"HAGELIN, JOHN",OTHER,262,7.0
1992,RHODE ISLAND,"PHILLIPS, HOWARD",OTHER,215,8.0
1996,RHODE ISLAND,"CLINTON, BILL",DEMOCRAT,233050,1.0
1996,RHODE ISLAND,"DOLE, ROBERT",REPUBLICAN,104683,2.0
1996,RHODE ISLAND,"PEROT, ROSS",OTHER,43723,3.0
1996,RHODE ISLAND,"NADER, RALPH",OTHER,6040,4.0
1996,RHODE ISLAND,"BROWNE, HARRY",LIBERTARIAN,1109,5.0
1996,RHODE ISLAND,"PHILLIPS, HOWARD",OTHER,1021,6.0
1996,RHODE ISLAND,"HAGELIN, JOHN",OTHER,435,7.0
1996,RHODE ISLAND,"MOOREHEAD, MONICA",OTHER,186,8.0
2000,RHODE ISLAND,"GORE, AL",DEMOCRAT,249508,1.0
2000,RHODE ISLAND,"BUSH, GEORGE W.",REPUBLICAN,130555,2.0
2000,RHODE ISLAND,"NADER, RALPH",OTHER,25052,3.0
2000,RHODE ISLAND,"BUCHANAN, PATRICK """"PAT""""",OTHER,2273,4.0
2000,RHODE ISLAND,"BROWNE, HARRY",LIBERTARIAN,742,5.0
2000,RHODE ISLAND,,OTHER,329,6.0
2000,RHODE ISLAND,"HAGELIN, JOHN",OTHER,271,7.0
2000,RHODE ISLAND,"MOOREHEAD, MONICA",OTHER,199,8.0
2000,RHODE ISLAND,"PHILLIPS, HOWARD",OTHER,97,9.0
2000,RHODE ISLAND,,OTHER,52,10.0
2000,RHODE ISLAND,,OTHER,34,11.0
2004,RHODE ISLAND,"KERRY, JOHN",DEMOCRAT,259760,1.0
2004,RHODE ISLAND,"BUSH, GEORGE W.",REPUBLICAN,169046,2.0
2004,RHODE ISLAND,"NADER, RALPH",OTHER,4651,3.0
2004,RHODE ISLAND,"COBB, DAVID",OTHER,1333,4.0
2004,RHODE ISLAND,"BADNARIK, MICHAEL",LIBERTARIAN,907,5.0
2004,RHODE ISLAND,NONPARTISAN,OTHER,845,6.0
2004,RHODE ISLAND,"PEROUTKA, MICHAEL",OTHER,339,7.0
2004,RHODE ISLAND,WORKERS WORLD,OTHER,253,8.0
2008,RHODE ISLAND,"OBAMA, BARACK H.",DEMOCRAT,296571,1.0
2008,RHODE ISLAND,"MCCAIN, JOHN",REPUBLICAN,165391,2.0
2008,RHODE ISLAND,"NADER, RALPH",OTHER,4829,3.0
2008,RHODE ISLAND,,OTHER,1999,4.0
2008,RHODE ISLAND,"BARR, BOB",LIBERTARIAN,1382,5.0
2008,RHODE ISLAND,"MCKINNEY, CYNTHIA",OTHER,797,6.0
2008,RHODE ISLAND,"BALDWIN, CHARLES """"CHUCK""""",OTHER,675,7.0
2008,RHODE ISLAND,"LA RIVA, GLORIA ESTELLA",OTHER,122,8.0
2012,RHODE ISLAND,"OBAMA, BARACK H.",DEMOCRAT,279677,1.0
2012,RHODE ISLAND,"ROMNEY, MITT",REPUBLICAN,157204,2.0
2012,RHODE ISLAND,"JOHNSON, GARY",LIBERTARIAN,4388,3.0
2012,RHODE ISLAND,"STEIN, JILL",OTHER,2421,4.0
2012,RHODE ISLAND,,OTHER,1381,5.0
2012,RHODE ISLAND,"GOODE, VIRGIL HAMLIN, JR.",OTHER,430,6.0
2012,RHODE ISLAND,"ANDERSON, ROSS CARL """"ROCKY""""",OTHER,416,7.0
2012,RHODE ISLAND,"LINDSAY, PETA",OTHER,132,8.0
2016,RHODE ISLAND,"CLINTON, HILLARY",DEMOCRAT,252525,1.0
2016,RHODE ISLAND,"TRUMP, DONALD J.",REPUBLICAN,180543,2.0
2016,RHODE ISLAND,"JOHNSON, GARY",LIBERTARIAN,14746,3.0
2016,RHODE ISLAND,,OTHER,9439,4.0
2016,RHODE ISLAND,"STEIN, JILL",OTHER,6220,5.0
2016,RHODE ISLAND,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,671,6.0
2020,RHODE ISLAND,"BIDEN, JOSEPH R. JR",DEMOCRAT,307486,1.0
2020,RHODE ISLAND,"TRUMP, DONALD J.",REPUBLICAN,199922,2.0
2020,RHODE ISLAND,"JORGENSEN, JO",LIBERTARIAN,5053,3.0
2020,RHODE ISLAND,,OTHER,2759,4.0
2020,RHODE ISLAND,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,923,5.0
2020,RHODE ISLAND,"LA RIVA, GLORIA ESTELLA",OTHER,847,6.0
1976,SOUTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,450807,1.0
1976,SOUTH CAROLINA,"FORD, GERALD",REPUBLICAN,346149,2.0
1976,SOUTH CAROLINA,"ANDERSON, THOMAS J.",OTHER,2996,3.0
1976,SOUTH CAROLINA,"MADDOX, LESTER",OTHER,1950,4.0
1976,SOUTH CAROLINA,,OTHER,681,5.0
1980,SOUTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,439277,1.0
1980,SOUTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,428220,2.0
1980,SOUTH CAROLINA,"ANDERSON, JOHN B.",OTHER,13868,3.0
1980,SOUTH CAROLINA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,4807,4.0
1980,SOUTH CAROLINA,"RARICK, JOHN",OTHER,2086,5.0
1984,SOUTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,615539,1.0
1984,SOUTH CAROLINA,"MONDALE, WALTER",DEMOCRAT,344459,2.0
1984,SOUTH CAROLINA,"BERGLAND, DAVID",LIBERTARIAN,4359,3.0
1984,SOUTH CAROLINA,"DENNIS, DELMAR",OTHER,3490,4.0
1984,SOUTH CAROLINA,"SERRETTE, DENNIS",OTHER,682,5.0
1988,SOUTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,606443,1.0
1988,SOUTH CAROLINA,"DUKAKIS, MICHAEL",DEMOCRAT,370554,2.0
1988,SOUTH CAROLINA,"PAUL, RONALD """"RON""""",LIBERTARIAN,4935,3.0
1988,SOUTH CAROLINA,"FULANI, LENORA",OTHER,4077,4.0
1992,SOUTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,577507,1.0
1992,SOUTH CAROLINA,"CLINTON, BILL",DEMOCRAT,525514,2.0
1992,SOUTH CAROLINA,"PEROT, ROSS",OTHER,119257,3.0
1992,SOUTH CAROLINA,"MARROU, ANDRE",LIBERTARIAN,2719,4.0
1992,SOUTH CAROLINA,"PHILLIPS, HOWARD",OTHER,2680,5.0
1992,SOUTH CAROLINA,"FULANI, LENORA",OTHER,1235,6.0
1996,SOUTH CAROLINA,"DOLE, ROBERT",REPUBLICAN,573339,1.0
1996,SOUTH CAROLINA,"CLINTON, BILL",DEMOCRAT,506152,2.0
1996,SOUTH CAROLINA,"PEROT, ROSS",OTHER,36913,3.0
1996,SOUTH CAROLINA,"PEROT, ROSS",OTHER,27464,4.0
1996,SOUTH CAROLINA,"BROWNE, HARRY",LIBERTARIAN,4271,5.0
1996,SOUTH CAROLINA,"PHILLIPS, HOWARD",OTHER,2043,6.0
2000,SOUTH CAROLINA,"BUSH, GEORGE W.",REPUBLICAN,786892,1.0
2000,SOUTH CAROLINA,"GORE, AL",DEMOCRAT,566037,2.0
2000,SOUTH CAROLINA,"NADER, RALPH",OTHER,20279,3.0
2000,SOUTH CAROLINA,"BROWNE, HARRY",LIBERTARIAN,4760,4.0
2000,SOUTH CAROLINA,"BUCHANAN, PATRICK """"PAT""""",OTHER,3309,5.0
2000,SOUTH CAROLINA,,OTHER,1682,6.0
2000,SOUTH CAROLINA,"HAGELIN, JOHN",OTHER,943,7.0
2004,SOUTH CAROLINA,"BUSH, GEORGE W.",REPUBLICAN,937974,1.0
2004,SOUTH CAROLINA,"KERRY, JOHN",DEMOCRAT,661669,2.0
2004,SOUTH CAROLINA,"NADER, RALPH",OTHER,5520,3.0
2004,SOUTH CAROLINA,"PEROUTKA, MICHAEL",OTHER,5317,4.0
2004,SOUTH CAROLINA,"BADNARIK, MICHAEL",LIBERTARIAN,3608,5.0
2004,SOUTH CAROLINA,"BROWN, WALT",OTHER,2124,6.0
2004,SOUTH CAROLINA,"COBB, DAVID",OTHER,1488,7.0
2008,SOUTH CAROLINA,"MCCAIN, JOHN",REPUBLICAN,1034896,1.0
2008,SOUTH CAROLINA,"OBAMA, BARACK H.",DEMOCRAT,862449,2.0
2008,SOUTH CAROLINA,"BARR, BOB",LIBERTARIAN,7283,3.0
2008,SOUTH CAROLINA,"BALDWIN, CHARLES """"CHUCK""""",OTHER,6827,4.0
2008,SOUTH CAROLINA,"NADER, RALPH",OTHER,5053,5.0
2008,SOUTH CAROLINA,"MCKINNEY, CYNTHIA",OTHER,4461,6.0
2012,SOUTH CAROLINA,"ROMNEY, MITT",REPUBLICAN,1071645,1.0
2012,SOUTH CAROLINA,"OBAMA, BARACK H.",DEMOCRAT,865941,2.0
2012,SOUTH CAROLINA,"JOHNSON, GARY",LIBERTARIAN,16321,3.0
2012,SOUTH CAROLINA,"STEIN, JILL",OTHER,5446,4.0
2012,SOUTH CAROLINA,"GOODE, VIRGIL HAMLIN, JR.",OTHER,4765,5.0
2016,SOUTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,1155389,1.0
2016,SOUTH CAROLINA,"CLINTON, HILLARY",DEMOCRAT,855373,2.0
2016,SOUTH CAROLINA,"JOHNSON, GARY",LIBERTARIAN,49204,3.0
2016,SOUTH CAROLINA,"MCMULLIN, EVAN",OTHER,21016,4.0
2016,SOUTH CAROLINA,"STEIN, JILL",OTHER,13034,5.0
2016,SOUTH CAROLINA,"CASTLE, DARRELL L.",OTHER,5765,6.0
2016,SOUTH CAROLINA,"SKEWES, PETER",OTHER,3246,7.0
2020,SOUTH CAROLINA,"TRUMP, DONALD J.",REPUBLICAN,1385103,1.0
2020,SOUTH CAROLINA,"BIDEN, JOSEPH R. JR",DEMOCRAT,1091541,2.0
2020,SOUTH CAROLINA,"JORGENSEN, JO",LIBERTARIAN,27916,3.0
2020,SOUTH CAROLINA,"HAWKINS, HOWIE",OTHER,6907,4.0
2020,SOUTH CAROLINA,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,1862,5.0
2020,SOUTH CAROLINA,"CARROLL, BRIAN",OTHER,767,6.0
1976,SOUTH DAKOTA,"FORD, GERALD",REPUBLICAN,151505,1.0
1976,SOUTH DAKOTA,"CARTER, JIMMY",DEMOCRAT,147068,2.0
1976,SOUTH DAKOTA,"MACBRIDE, ROGER",LIBERTARIAN,1619,3.0
1976,SOUTH DAKOTA,"HALL, GUS",OTHER,318,4.0
1976,SOUTH DAKOTA,"CAMEJO, PETER",OTHER,168,5.0
1980,SOUTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,198343,1.0
1980,SOUTH DAKOTA,"CARTER, JIMMY",DEMOCRAT,103855,2.0
1980,SOUTH DAKOTA,"ANDERSON, JOHN B.",OTHER,21431,3.0
1980,SOUTH DAKOTA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,3824,4.0
1980,SOUTH DAKOTA,"PULLEY, ANDREW",OTHER,250,5.0
1984,SOUTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,200267,1.0
1984,SOUTH DAKOTA,"MONDALE, WALTER",DEMOCRAT,116113,2.0
1984,SOUTH DAKOTA,"SERRETTE, DENNIS",OTHER,1150,3.0
1984,SOUTH DAKOTA,"MASON, MELVIN",OTHER,337,4.0
1988,SOUTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,165415,1.0
1988,SOUTH DAKOTA,"DUKAKIS, MICHAEL",DEMOCRAT,145560,2.0
1988,SOUTH DAKOTA,,OTHER,2016,3.0
1992,SOUTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,136718,1.0
1992,SOUTH DAKOTA,"CLINTON, BILL",DEMOCRAT,124888,2.0
1992,SOUTH DAKOTA,"PEROT, ROSS",OTHER,73295,3.0
1992,SOUTH DAKOTA,"MARROU, ANDRE",LIBERTARIAN,814,4.0
1992,SOUTH DAKOTA,OTHER,OTHER,539,5.0
1996,SOUTH DAKOTA,"DOLE, ROBERT",REPUBLICAN,150543,1.0
1996,SOUTH DAKOTA,"CLINTON, BILL",DEMOCRAT,139333,2.0
1996,SOUTH DAKOTA,,OTHER,32478,3.0
1996,SOUTH DAKOTA,"BROWNE, HARRY",LIBERTARIAN,1472,4.0
2000,SOUTH DAKOTA,"BUSH, GEORGE W.",REPUBLICAN,190700,1.0
2000,SOUTH DAKOTA,"GORE, AL",DEMOCRAT,118804,2.0
2000,SOUTH DAKOTA,"BUCHANAN, PATRICK """"PAT""""",OTHER,3322,3.0
2000,SOUTH DAKOTA,"PHILLIPS, HOWARD",OTHER,1781,4.0
2000,SOUTH DAKOTA,"BROWNE, HARRY",LIBERTARIAN,1662,5.0
2004,SOUTH DAKOTA,"BUSH, GEORGE W.",REPUBLICAN,232584,1.0
2004,SOUTH DAKOTA,"KERRY, JOHN",DEMOCRAT,149244,2.0
2004,SOUTH DAKOTA,"NADER, RALPH",OTHER,4320,3.0
2004,SOUTH DAKOTA,"PEROUTKA, MICHAEL",OTHER,1103,4.0
2004,SOUTH DAKOTA,"BADNARIK, MICHAEL",LIBERTARIAN,964,5.0
2008,SOUTH DAKOTA,"MCCAIN, JOHN",REPUBLICAN,203054,1.0
2008,SOUTH DAKOTA,"OBAMA, BARACK H.",DEMOCRAT,170924,2.0
2008,SOUTH DAKOTA,"NADER, RALPH",OTHER,4267,3.0
2008,SOUTH DAKOTA,"BALDWIN, CHARLES """"CHUCK""""",OTHER,1895,4.0
2008,SOUTH DAKOTA,"BARR, BOB",LIBERTARIAN,1835,5.0
2012,SOUTH DAKOTA,"ROMNEY, MITT",REPUBLICAN,210610,1.0
2012,SOUTH DAKOTA,"OBAMA, BARACK H.",DEMOCRAT,145039,2.0
2012,SOUTH DAKOTA,"JOHNSON, GARY",LIBERTARIAN,5795,3.0
2012,SOUTH DAKOTA,"GOODE, VIRGIL HAMLIN, JR.",OTHER,2371,4.0
2016,SOUTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,227721,1.0
2016,SOUTH DAKOTA,"CLINTON, HILLARY",DEMOCRAT,117458,2.0
2016,SOUTH DAKOTA,"JOHNSON, GARY",LIBERTARIAN,20850,3.0
2016,SOUTH DAKOTA,"CASTLE, DARRELL L.",OTHER,4064,4.0
2020,SOUTH DAKOTA,"TRUMP, DONALD J.",REPUBLICAN,261043,1.0
2020,SOUTH DAKOTA,"BIDEN, JOSEPH R. JR",DEMOCRAT,150471,2.0
2020,SOUTH DAKOTA,"JORGENSEN, JO",LIBERTARIAN,11095,3.0
1976,TENNESSEE,"CARTER, JIMMY",DEMOCRAT,825879,1.0
1976,TENNESSEE,"FORD, GERALD",REPUBLICAN,633969,2.0
1976,TENNESSEE,"ANDERSON, THOMAS J.",OTHER,5769,3.0
1976,TENNESSEE,"MCCARTHY, EUGENE """"GENE""""",OTHER,5004,4.0
1976,TENNESSEE,"MADDOX, LESTER",OTHER,2303,5.0
1976,TENNESSEE,"MACBRIDE, ROGER",OTHER,1375,6.0
1976,TENNESSEE,"HALL, GUS",OTHER,547,7.0
1976,TENNESSEE,"LAROUCHE, LYNDON, JR.",OTHER,512,8.0
1976,TENNESSEE,"BUBAR, BENJAMIN """"BEN""""",OTHER,442,9.0
1976,TENNESSEE,,OTHER,316,10.0
1976,TENNESSEE,,OTHER,230,11.0
1980,TENNESSEE,"REAGAN, RONALD",REPUBLICAN,787761,1.0
1980,TENNESSEE,"CARTER, JIMMY",DEMOCRAT,783051,2.0
1980,TENNESSEE,"ANDERSON, JOHN B.",OTHER,35991,3.0
1980,TENNESSEE,"CLARK, EDWARD """"ED""""",LIBERTARIAN,7116,4.0
1980,TENNESSEE,"COMMONER, BARRY",OTHER,1112,5.0
1980,TENNESSEE,"BUBAR, BENJAMIN """"BEN""""",OTHER,521,6.0
1980,TENNESSEE,"MCREYNOLDS, DAVID",OTHER,519,7.0
1980,TENNESSEE,"HALL, GUS",OTHER,503,8.0
1980,TENNESSEE,"DEBERRY, CLIFTON",OTHER,490,9.0
1980,TENNESSEE,"GRISWOLD, DEIRDRE",OTHER,400,10.0
1980,TENNESSEE,,OTHER,152,11.0
1984,TENNESSEE,"REAGAN, RONALD",REPUBLICAN,990212,1.0
1984,TENNESSEE,"MONDALE, WALTER",DEMOCRAT,711714,2.0
1984,TENNESSEE,"BERGLAND, DAVID",LIBERTARIAN,3072,3.0
1984,TENNESSEE,"LAROUCHE, LYNDON, JR.",OTHER,1852,4.0
1984,TENNESSEE,"RICHARDS, BOB",OTHER,1763,5.0
1984,TENNESSEE,"HALL, GUS",OTHER,1036,6.0
1984,TENNESSEE,"JOHNSON, SONIA",OTHER,978,7.0
1984,TENNESSEE,"MASON, MELVIN",OTHER,715,8.0
1984,TENNESSEE,"SERRETTE, DENNIS",OTHER,524,9.0
1984,TENNESSEE,OTHER,OTHER,127,10.0
1988,TENNESSEE,"BUSH, GEORGE H.W.",REPUBLICAN,947233,1.0
1988,TENNESSEE,"DUKAKIS, MICHAEL",DEMOCRAT,679794,2.0
1988,TENNESSEE,,OTHER,8938,3.0
1988,TENNESSEE,,OTHER,285,4.0
1992,TENNESSEE,"CLINTON, BILL",DEMOCRAT,933521,1.0
1992,TENNESSEE,"BUSH, GEORGE H.W.",REPUBLICAN,841300,2.0
1992,TENNESSEE,"PEROT, ROSS",OTHER,199968,3.0
1992,TENNESSEE,OTHER,OTHER,7688,4.0
1992,TENNESSEE,,OTHER,161,5.0
1996,TENNESSEE,"CLINTON, BILL",DEMOCRAT,909146,1.0
1996,TENNESSEE,"DOLE, ROBERT",REPUBLICAN,863530,2.0
1996,TENNESSEE,,OTHER,121239,3.0
1996,TENNESSEE,,OTHER,190,4.0
2000,TENNESSEE,"BUSH, GEORGE W.",REPUBLICAN,1061949,1.0
2000,TENNESSEE,"GORE, AL",DEMOCRAT,981720,2.0
2000,TENNESSEE,,OTHER,32084,3.0
2000,TENNESSEE,,OTHER,428,4.0
2004,TENNESSEE,"BUSH, GEORGE W.",REPUBLICAN,1384375,1.0
2004,TENNESSEE,"KERRY, JOHN",DEMOCRAT,1036477,2.0
2004,TENNESSEE,OTHER,OTHER,16428,3.0
2004,TENNESSEE,OTHER,OTHER,39,4.0
2008,TENNESSEE,"MCCAIN, JOHN",REPUBLICAN,1479178,1.0
2008,TENNESSEE,"OBAMA, BARACK H.",DEMOCRAT,1087437,2.0
2008,TENNESSEE,,OTHER,33134,3.0
2012,TENNESSEE,"ROMNEY, MITT",REPUBLICAN,1462330,1.0
2012,TENNESSEE,"OBAMA, BARACK H.",DEMOCRAT,960709,2.0
2012,TENNESSEE,,OTHER,23001,3.0
2012,TENNESSEE,"STEIN, JILL",OTHER,6515,4.0
2012,TENNESSEE,"GOODE, VIRGIL HAMLIN, JR.",OTHER,6022,5.0
2016,TENNESSEE,"TRUMP, DONALD J.",REPUBLICAN,1522925,1.0
2016,TENNESSEE,"CLINTON, HILLARY",DEMOCRAT,870695,2.0
2016,TENNESSEE,,OTHER,100618,3.0
2016,TENNESSEE,,OTHER,13789,4.0
2020,TENNESSEE,"TRUMP, DONALD J.",REPUBLICAN,1852475,1.0
2020,TENNESSEE,"BIDEN, JOSEPH R. JR",DEMOCRAT,1143711,2.0
2020,TENNESSEE,"JORGENSEN, JO",OTHER,29877,3.0
2020,TENNESSEE,"WEST, KANYE",OTHER,10279,4.0
2020,TENNESSEE,"BLANKENSHIP, DON",OTHER,5365,5.0
2020,TENNESSEE,"HAWKINS, HOWIE",OTHER,4545,6.0
2020,TENNESSEE,"KENNEDY, ALYSON",OTHER,2576,7.0
2020,TENNESSEE,"LA RIVA, GLORIA ESTELLA",OTHER,2301,8.0
2020,TENNESSEE,"DE LA FUENTE, ROQUE """"ROCKY""""",OTHER,1860,9.0
2020,TENNESSEE,"CARROLL, BRIAN",OTHER,762,10.0
2020,TENNESSEE,"SIMMONS, JADE",OTHER,68,11.0
2020,TENNESSEE,"HOEFLING, TOM",OTHER,31,12.0
2020,TENNESSEE,"BODDIE, R. PRESIDENT",OTHER,1,13.0
1976,TEXAS,"CARTER, JIMMY",DEMOCRAT,2082319,1.0
1976,TEXAS,"FORD, GERALD",REPUBLICAN,1953300,2.0
